word,frequency,log frequency
the,5506,8.613593685702552
of,5480,8.608860379942062
and,4369,8.382289428951436
in,3093,8.03689677268507
to,2530,7.835974581721566
a,1738,7.460490305825338
with,1680,7.426549072397305
for,1217,7.104144092987527
is,1171,7.065613363597717
patients,1068,6.97354301952014
The,987,6.894670039433482
was,846,6.740519359606223
were,725,6.586171654854675
that,714,6.570882962339584
asthma,643,6.466144724237619
as,625,6.437751649736401
are,582,6.366470447731438
by,578,6.359573868672378
on,563,6.333279628139691
stroke,562,6.331501849893691
be,516,6.246106765481563
influenza,482,6.1779441140506
or,478,6.169610732491456
from,469,6.150602768446279
infarction,439,6.0844994130751715
an,438,6.082218910376446
myocardial,421,6.042632833682381
acute,397,5.983936280687191
this,391,5.968707559985366
have,355,5.872117789475416
disease,351,5.860786223465865
In,337,5.820082930352362
risk,334,5.811140992976701
COVID-19,320,5.768320995793772
SARS-CoV-2,320,5.768320995793772
at,319,5.765191102784844
study,298,5.697093486505405
has,295,5.68697535633982
clinical,292,5.676753802268282
than,292,5.676753802268282
A,280,5.634789603169249
after,279,5.631211781821365
We,269,5.594711379601839
been,265,5.579729825986222
not,262,5.568344503761097
treatment,260,5.560681631015528
between,249,5.517452896464707
which,247,5.5093883366279774
pandemic,246,5.5053315359323625
This,244,5.497168225293202
can,224,5.4116460518550396
severe,222,5.402677381872279
virus,222,5.402677381872279
had,217,5.37989735354046
these,216,5.375278407684165
may,215,5.3706380281276624
infection,215,5.3706380281276624
more,209,5.342334251964811
but,206,5.327876168789581
mortality,196,5.278114659230517
during,195,5.272999558563747
we,193,5.262690188904886
2,190,5.247024072160486
children,186,5.225746673713202
cases,185,5.220355825078324
associated,183,5.209486152841421
health,180,5.19295685089021
used,177,5.176149732573829
factors,173,5.153291594497779
respiratory,166,5.111987788356544
Background,165,5.10594547390058
years,163,5.093750200806762
therapy,160,5.075173815233827
studies,158,5.062595033026967
who,155,5.043425116919247
control,155,5.043425116919247
all,154,5.0369526024136295
high,154,5.0369526024136295
it,154,5.0369526024136295
coronary,154,5.0369526024136295
coronavirus,153,5.030437921392435
group,152,5.0238805208462765
also,150,5.0106352940962555
age,149,5.003946305945459
management,148,4.997212273764115
their,148,4.997212273764115
most,146,4.983606621708336
data,145,4.976733742420574
vaccine,144,4.969813299576001
other,143,4.962844630259907
results,143,4.962844630259907
use,140,4.941642422609304
care,139,4.9344739331306915
its,139,4.9344739331306915
patient,136,4.912654885736052
review,136,4.912654885736052
no,133,4.890349128221754
symptoms,131,4.875197323201151
such,131,4.875197323201151
diagnosis,129,4.859812404361672
using,127,4.844187086458591
first,123,4.812184355372417
1,123,4.812184355372417
time,122,4.804021044733257
both,120,4.787491742782046
left,119,4.77912349311153
early,118,4.770684624465665
3,117,4.762173934797756
different,116,4.7535901911063645
viral,116,4.7535901911063645
To,115,4.74493212836325
showed,115,4.74493212836325
new,115,4.74493212836325
significant,115,4.74493212836325
against,114,4.736198448394496
less,114,4.736198448394496
one,113,4.727387818712341
two,112,4.718498871295094
rate,111,4.709530201312334
among,111,4.709530201312334
only,110,4.700480365792417
increased,110,4.700480365792417
ischemic,110,4.700480365792417
those,109,4.6913478822291435
case,108,4.68213122712422
higher,108,4.68213122712422
potential,108,4.68213122712422
population,108,4.68213122712422
should,107,4.672828834461906
including,107,4.672828834461906
role,106,4.663439094112067
vaccination,105,4.653960350157523
compared,103,4.634728988229636
significantly,102,4.624972813284271
well,102,4.624972813284271
development,102,4.624972813284271
AMI,101,4.61512051684126
strokes,99,4.59511985013459
there,98,4.584967478670572
response,98,4.584967478670572
ventricular,98,4.584967478670572
heart,98,4.584967478670572
days,98,4.584967478670572
groups,97,4.574710978503383
However,97,4.574710978503383
syndrome,97,4.574710978503383
effective,96,4.564348191467836
blood,95,4.553876891600541
important,94,4.543294782270004
outcomes,93,4.532599493153256
about,92,4.5217885770490405
effects,91,4.51085950651685
viruses,91,4.51085950651685
when,91,4.51085950651685
within,90,4.499809670330265
present,90,4.499809670330265
found,90,4.499809670330265
death,89,4.48863636973214
-,88,4.477336814478207
95,88,4.477336814478207
function,88,4.477336814478207
cells,88,4.477336814478207
cardiac,86,4.454347296253507
over,86,4.454347296253507
artery,85,4.442651256490317
test,84,4.430816798843313
due,84,4.430816798843313
could,84,4.430816798843313
current,83,4.418840607796598
changes,83,4.418840607796598
infections,83,4.418840607796598
cause,82,4.406719247264253
diagnostic,82,4.406719247264253
major,82,4.406719247264253
human,81,4.394449154672439
It,81,4.394449154672439
testing,80,4.382026634673881
rates,80,4.382026634673881
hospital,79,4.3694478524670215
into,79,4.3694478524670215
positive,79,4.3694478524670215
available,78,4.356708826689592
common,78,4.356708826689592
immune,78,4.356708826689592
CI,76,4.330733340286331
analysis,76,4.330733340286331
MI,76,4.330733340286331
cell,75,4.31748811353631
2019,75,4.31748811353631
individuals,75,4.31748811353631
chronic,74,4.30406509320417
therapeutic,74,4.30406509320417
medical,74,4.30406509320417
2009,74,4.30406509320417
vaccines,73,4.290459441148391
public,73,4.290459441148391
will,72,4.276666119016055
lower,72,4.276666119016055
system,71,4.2626798770413155
mean,71,4.2626798770413155
without,71,4.2626798770413155
onset,71,4.2626798770413155
level,71,4.2626798770413155
number,70,4.248495242049359
levels,70,4.248495242049359
specific,70,4.248495242049359
flow,69,4.23410650459726
These,69,4.23410650459726
prevention,69,4.23410650459726
p,69,4.23410650459726
evidence,69,4.23410650459726
year,69,4.23410650459726
complications,68,4.219507705176107
period,68,4.219507705176107
tests,68,4.219507705176107
H1N1,68,4.219507705176107
our,68,4.219507705176107
possible,68,4.219507705176107
identify,67,4.204692619390966
some,67,4.204692619390966
performed,67,4.204692619390966
strategies,67,4.204692619390966
There,67,4.204692619390966
whether,67,4.204692619390966
three,67,4.204692619390966
effect,67,4.204692619390966
findings,67,4.204692619390966
observed,66,4.189654742026425
measures,66,4.189654742026425
morbidity,66,4.189654742026425
impact,65,4.174387269895637
they,65,4.174387269895637
information,65,4.174387269895637
4,64,4.1588830833596715
Objective,64,4.1588830833596715
evaluate,64,4.1588830833596715
several,64,4.1588830833596715
confirmed,64,4.1588830833596715
determine,63,4.143134726391533
novel,63,4.143134726391533
