word,frequency,log frequency
the,6493,8.778479952508487
of,5509,8.614138397472717
and,4369,8.382289428951436
in,3430,8.140315540159985
to,2647,7.881182202227102
a,2018,7.609862200913554
with,1703,7.440146680662688
patient,1240,7.122866658599083
for,1231,7.115582126184454
is,1179,7.072421900537371
wa,846,6.740519359606223
were,725,6.586171654854675
that,715,6.5722825426940075
stroke,711,6.566672429803241
asthma,699,6.54965074223381
as,655,6.484635235635252
thi,635,6.453624998892692
by,588,6.376726947898627
on,586,6.373319789577012
are,582,6.366470447731438
be,566,6.338594078203183
infarct,553,6.315358001522335
influenza,523,6.259581464064923
studi,522,6.257667587882639
use,517,6.248042874508429
or,515,6.244166900663736
from,477,6.1675164908883415
we,464,6.139884552226255
an,460,6.131226489483141
myocardi,439,6.0844994130751715
diseas,433,6.07073772800249
acut,414,6.025865973825314
sever,384,5.950642552587727
it,379,5.937536205082426
have,376,5.929589143389895
vaccin,357,5.877735781779639
risk,351,5.860786223465865
at,345,5.84354441703136
clinic,345,5.84354441703136
infect,343,5.8377304471659395
covid-19,329,5.796057750765372
sars-cov-2,323,5.777652323222656
effect,315,5.752572638825633
after,310,5.736572297479192
ha,307,5.726847747587197
case,297,5.6937321388027
test,293,5.680172609017068
treatment,292,5.676753802268282
than,292,5.676753802268282
these,285,5.652489180268651
group,272,5.605802066295998
pandem,269,5.594711379601839
been,265,5.579729825986222
not,264,5.575949103146316
associ,264,5.575949103146316
between,255,5.541263545158426
which,247,5.5093883366279774
increas,242,5.488937726156687
year,234,5.455321115357702
result,234,5.455321115357702
may,229,5.43372200355424
control,227,5.424950017481403
dure,226,5.420534999272286
develop,226,5.420534999272286
viru,225,5.41610040220442
can,224,5.4116460518550396
differ,224,5.4116460518550396
more,224,5.4116460518550396
factor,217,5.37989735354046
had,217,5.37989735354046
health,215,5.3706380281276624
but,207,5.332718793265369
includ,207,5.332718793265369
mortal,202,5.308267697401205
caus,199,5.293304824724492
rate,196,5.278114659230517
hospit,195,5.272999558563747
children,195,5.272999558563747
all,194,5.267858159063328
2,190,5.247024072160486
age,189,5.241747015059643
therapi,188,5.236441962829949
respons,188,5.236441962829949
time,187,5.231108616854587
review,182,5.204006687076795
respiratori,178,5.181783550292085
assess,178,5.181783550292085
manag,177,5.176149732573829
improv,174,5.159055299214529
present,172,5.147494476813453
coronaviru,172,5.147494476813453
background,171,5.14166355650266
other,168,5.123963979403259
compar,168,5.123963979403259
coronari,167,5.117993812416755
who,167,5.117993812416755
evalu,167,5.117993812416755
there,165,5.10594547390058
show,165,5.10594547390058
cell,164,5.099866427824199
data,164,5.099866427824199
most,164,5.099866427824199
symptom,163,5.093750200806762
also,160,5.075173815233827
no,160,5.075173815233827
prevent,158,5.062595033026967
high,158,5.062595033026967
identifi,154,5.0369526024136295
care,153,5.030437921392435
outcom,153,5.030437921392435
potenti,152,5.0238805208462765
provid,152,5.0238805208462765
function,151,5.017279836814924
their,150,5.0106352940962555
report,149,5.003946305945459
death,146,4.983606621708336
one,143,4.962844630259907
level,142,4.955827057601261
object,141,4.948759890378168
new,141,4.948759890378168
measur,141,4.948759890378168
import,140,4.941642422609304
emerg,138,4.927253685157205
such,137,4.919980925828125
two,137,4.919980925828125
diagnosi,137,4.919980925828125
activ,136,4.912654885736052
howev,135,4.90527477843843
chang,135,4.90527477843843
signific,134,4.897839799950911
medic,133,4.890349128221754
immun,133,4.890349128221754
arteri,133,4.890349128221754
day,132,4.882801922586371
detect,132,4.882801922586371
popul,132,4.882801922586371
both,131,4.875197323201151
current,130,4.867534450455582
system,128,4.852030263919617
determin,128,4.852030263919617
first,127,4.844187086458591
among,126,4.836281906951478
p,126,4.836281906951478
earli,126,4.836281906951478
left,125,4.8283137373023015
aim,125,4.8283137373023015
1,123,4.812184355372417
reduc,120,4.787491742782046
viral,120,4.787491742782046
individu,119,4.77912349311153
complic,118,4.770684624465665
specif,118,4.770684624465665
onli,117,4.762173934797756
3,117,4.762173934797756
those,116,4.7535901911063645
less,116,4.7535901911063645
ischem,115,4.74493212836325
against,114,4.736198448394496
role,114,4.736198448394496
higher,112,4.718498871295094
follow,112,4.718498871295094
model,111,4.709530201312334
method,111,4.709530201312334
