word,frequency,log frequency
the,32399,10.38588283710658
of,27498,10.22186855373718
and,21782,9.988839219635631
in,16968,9.739084496244518
to,12978,9.471010895181113
a,10001,9.210440366976517
with,8256,9.018695487721343
for,6217,8.735042754269337
patient,5668,8.64259160081057
is,5664,8.641885635373555
wa,4151,8.33110454805304
that,3802,8.243282523048375
asthma,3453,8.146998697389993
thi,3294,8.099857910737585
stroke,3292,8.09925056179696
were,3280,8.09559870137819
as,3193,8.068716192714781
on,3150,8.055157731819678
are,3137,8.051022208190679
by,3064,8.027476530860483
be,3021,8.013343181386672
influenza,2982,8.000349495324684
studi,2673,7.890956716138919
infarct,2579,7.8551570058813445
or,2474,7.813591552952433
from,2424,7.793174347189205
use,2390,7.779048644925556
we,2386,7.777373602657861
an,2381,7.7752758464868625
diseas,2259,7.7226775164680035
acut,2142,7.669495251007694
vaccin,2141,7.669028288589683
have,2110,7.6544432264701125
myocardi,2071,7.635786861395585
sever,1941,7.57095858316901
clinic,1874,7.535830462798367
infect,1832,7.513163545234075
at,1769,7.478169694159785
it,1749,7.466799475018602
sars-cov-2,1720,7.450079569807499
covid-19,1716,7.447751280047908
ha,1629,7.395721608602045
after,1597,7.3758821482150125
risk,1591,7.372118028337787
test,1546,7.343426229147367
treatment,1518,7.325148957955575
effect,1501,7.313886831633462
these,1457,7.284134806195205
been,1432,7.266827347520591
case,1368,7.221105098182496
not,1366,7.2196420401307355
group,1336,7.197435354096591
pandem,1330,7.1929342212158
may,1299,7.1693500166706
increas,1265,7.142827401161621
result,1222,7.108244139731541
which,1217,7.104144092987527
viru,1217,7.104144092987527
associ,1215,7.102499355774649
than,1208,7.0967213784947605
dure,1181,7.074116816197362
develop,1181,7.074116816197362
between,1173,7.067319848653476
can,1152,7.049254841255837
differ,1115,7.016609683894219
health,1087,6.99117688712121
factor,1084,6.988413181999592
respiratori,1072,6.977281341630747
caus,1055,6.961296045910167
control,1052,6.9584483932976555
children,1030,6.937314081223682
year,1025,6.932447891572509
more,1021,6.928537818164665
but,1001,6.90875477931522
includ,997,6.904750769961838
hospit,978,6.885509670034818
background,969,6.876264611890766
had,964,6.871091294610546
present,960,6.866933284461882
therapi,953,6.859614903654202
2,951,6.85751406254539
coronaviru,918,6.822197390620491
mortal,912,6.815639990074331
also,912,6.815639990074331
rate,907,6.810142450115136
all,907,6.810142450115136
