word,frequency,log frequency
the,27763,10.231459477945954
of,27383,10.21767766186868
and,21769,9.988242218400936
in,15260,9.632990304838447
to,12421,9.427143867544194
a,8646,9.064852065227576
with,8145,9.005159521036145
for,6085,8.713582005421628
is,5621,8.634264863002075
patients,4838,8.484256691169973
The,4635,8.441391477999955
was,4150,8.330863613224745
that,3796,8.241703159729818
were,3280,8.09559870137819
asthma,3169,8.06117135969092
are,3135,8.050384453067021
on,3051,8.02322468471667
as,3009,8.009363076630045
by,2995,8.00469951054955
be,2777,7.9291264873067995
influenza,2742,7.91644286012226
stroke,2644,7.880048200971577
from,2368,7.769800996003896
or,2324,7.751045117971802
an,2248,7.717796211013582
infarction,2104,7.651595573857601
this,2064,7.6324011266014535
have,2030,7.615791072035833
acute,2005,7.60339933974067
myocardial,1984,7.592870287844818
disease,1825,7.509335266016592
In,1706,7.441906728051625
SARS-CoV-2,1699,7.4377951216719325
COVID-19,1673,7.422373700986824
at,1626,7.3938782901077555
clinical,1591,7.372118028337787
has,1570,7.358830898342354
study,1504,7.315883504509785
risk,1485,7.3031700512368
after,1471,7.293697720601438
been,1432,7.266827347520591
not,1357,7.213031659834869
A,1355,7.2115567333138015
We,1346,7.204892510204673
treatment,1343,7.202661196523238
may,1239,7.122059881629142
This,1230,7.114769448366463
which,1216,7.103322062526113
than,1208,7.0967213784947605
virus,1207,7.095893221097532
pandemic,1203,7.0925737159746784
between,1153,7.050122520269059
can,1149,7.046647277848756
infection,1083,6.9874902470009905
severe,1060,6.966024187106113
these,1053,6.959398512133975
we,1038,6.945051063725834
during,1036,6.943122422819428
respiratory,1006,6.913737350659685
but,986,6.893656354602635
more,975,6.882437470997847
children,958,6.86484777797086
had,957,6.863803391452954
2,951,6.85751406254539
Background,922,6.826545223556594
cases,891,6.792344427470809
mortality,886,6.786716950605081
health,880,6.779921907472252
also,874,6.773080375655535
associated,865,6.762729506931879
their,848,6.742880635791903
vaccine,847,6.741700694652055
factors,842,6.7357800142423265
studies,838,6.731018100482083
coronary,835,6.727431724850855
