word,frequency,log frequency
the,275442,12.526132359095541
of,271999,12.513553668800787
and,211545,12.26219302079445
in,150182,11.91960317091771
to,125980,11.74387844317592
a,87382,11.378044590776334
with,78871,11.275568885403835
for,60231,11.005942448921688
is,56513,10.94222597916381
patients,48173,10.782553977112013
The,46387,10.74477452654493
was,40646,10.612655709150252
that,37613,10.535105014302918
were,32990,10.403959764222627
asthma,32608,10.392312936022451
are,30713,10.332441296713197
on,29906,10.305814408143789
as,29741,10.300281844196661
by,29447,10.290347316318723
be,27487,10.221468444611173
influenza,27368,10.21712972665744
stroke,26703,10.19253119762704
from,23414,10.061089413039618
an,23322,10.057152400080279
or,22124,10.004418271114568
this,20991,9.951849053414007
have,20503,9.928326495883047
infarction,19994,9.903187507527125
myocardial,19240,9.864746724219698
acute,18920,9.847974842605868
disease,18140,9.805874723669127
COVID-19,17041,9.743377484107393
In,16635,9.719264188452577
has,16363,9.702777967428895
SARS-CoV-2,16186,9.691901950055648
at,15653,9.658417870888224
clinical,15148,9.625623789021686
study,14867,9.60689927061335
been,14840,9.605081516721372
not,14480,9.580523665939708
risk,14264,9.565494159542977
after,14206,9.561419689557756
treatment,13721,9.526682784921174
We,13453,9.506957408485542
A,13156,9.484633207308947
virus,12301,9.417435838868785
may,12288,9.416378455387454
than,12076,9.39897529082673
This,12033,9.395408154438163
pandemic,11931,9.3868953338758
which,11814,9.37704054786718
between,11451,9.34583234141334
can,10872,9.29394595583098
infection,10669,9.275097619191461
we,10640,9.272375762895635
these,10635,9.271905727634337
during,10546,9.263501920090414
more,10065,9.216819338073892
respiratory,9890,9.199279424616758
severe,9776,9.187685681411377
Background,9694,9.17926241640532
had,9549,9.164191715950203
but,9530,9.162199996648248
children,8936,9.097843340749037
studies,8893,9.09301972939964
their,8809,9.083529205109796
associated,8777,9.079889942592118
2,8776,9.079776001955066
vaccine,8774,9.07954808172616
mortality,8678,9.068546366358296
cases,8620,9.061840363657739
also,8186,9.010180657052349
data,8182,9.009691898489343
coronary,8176,9.008958312443486
health,8138,9.004299728561636
factors,8067,8.995536944936974
therapy,7853,8.968650903374874
group,7846,8.967759126769497
years,7773,8.958411469230219
who,7689,8.94754601503218
symptoms,7651,8.942591637231851
care,7527,8.926251835034533
coronavirus,7477,8.919586920999915
it,7469,8.918516400357067
most,7287,8.893847217670283
use,7167,8.877242435993919
control,7135,8.872767529910936
other,7008,8.854807632616227
used,6947,8.846065190692881
results,6885,8.837100411162755
all,6879,8.836228571526014
such,6660,8.803874763534434
diagnosis,6412,8.765926513729443
high,6405,8.764834214330834
patient,6386,8.761863373274727
among,6275,8.744328763999984
its,6241,8.738895704934043
both,6238,8.738414897167749
review,6186,8.730043953245016
first,6105,8.716863386544805
management,6089,8.714239143608575
ischemic,5988,8.69751274553952
age,5977,8.695674048824253
using,5891,8.681181041521688
vaccination,5844,8.67317077287059
significant,5753,8.657476736863293
no,5746,8.656259239539235
time,5742,8.655562860681009
However,5731,8.653645314551737
increased,5722,8.652073673610056
early,5630,8.635864721133736
two,5598,8.630164670075398
viral,5573,8.625688787569537
should,5521,8.616314282284044
those,5515,8.615226931687603
one,5499,8.612321536507814
syndrome,5466,8.606302366488013
important,5449,8.603187384583098
new,5426,8.598957493218878
population,5424,8.598588829620232
compared,5365,8.587651655064798
well,5298,8.575084669832014
different,5296,8.574707097616844
To,5286,8.572817095164234
including,5246,8.56522116042682
there,5111,8.53915035876828
only,5104,8.537779825024625
left,5091,8.535229553902337
viruses,5030,8.523175263093785
potential,5008,8.518791912779934
1,5007,8.518592212329946
ventricular,5002,8.517593111437565
rate,4959,8.508959386489133
against,4943,8.505727713306959
vaccines,4839,8.48446336679332
will,4767,8.469472455204826
development,4732,8.462103225098277
less,4706,8.456593569287309
present,4685,8.452121194672523
reported,4604,8.434680769841773
higher,4594,8.432506383249043
response,4591,8.431853144249223
evidence,4583,8.430109084509125
p,4574,8.428143374582726
function,4565,8.426173793029069
analysis,4530,8.41847721847708
artery,4507,8.413387022690648
significantly,4455,8.40178233990491
role,4450,8.400659375160286
human,4448,8.400209835930418
number,4444,8.39931015075952
case,4439,8.398184404834035
about,4431,8.39638057119949
could,4429,8.395929103923198
effective,4367,8.381831553485561
3,4338,8.37516869138682
test,4331,8.373553741214627
found,4326,8.372398606513004
testing,4304,8.36730010184162
into,4283,8.36240897761537
current,4227,8.34924780056679
It,4221,8.347827345782498
hospital,4172,8.336150816120663
cardiac,4162,8.33375100695358
days,4149,8.330622620332868
groups,4141,8.328692583545568
when,4070,8.311398278436641
positive,4068,8.31090675716845
showed,4061,8.309184527686298
effects,4034,8.302513718514158
within,4034,8.302513718514158
cause,4024,8.300031711779575
due,3967,8.28576542051433
our,3925,8.275121630216509
severity,3921,8.27410200229233
H1N1,3912,8.271804031154709
strokes,3911,8.271548374755515
changes,3909,8.271036865792954
outcomes,3906,8.270269111436624
transmission,3906,8.270269111436624
death,3895,8.267448958304849
incidence,3874,8.262042843966942
These,3847,8.255048902752295
over,3806,8.244334047856094
prevention,3769,8.234564993267135
infections,3756,8.231109840328154
medical,3724,8.222553638396958
available,3716,8.22040309993373
cells,3697,8.215276958936633
common,3696,8.215006432761575
2019,3686,8.212297138229768
airway,3671,8.208219383496834
-,3663,8.206037762778815
without,3660,8.205218426395412
based,3647,8.20166019080868
effect,3641,8.200013648175434
heart,3637,8.19891444498699
increase,3588,8.185350223178686
95,3584,8.18423477409482
There,3572,8.18088094199639
